"City Council District","Agency","Site","Address","Borough","Environmental Justice Area","Installation Date","Installed or Estimated Capacity","Percentage of Max Peak Demand","Estimated Annual Production","Percentage of Annual Electricity Consumption","Estimated Annual Emissions Reduction","Estimated Social Cost of Carbon Value","Estimated Annual Energy Savings","Upfront Project Cost","Financing Mechanism","Status","Solar-Readiness Assessment","Total Gross Square Footage","Roof Condition","Roof Age","Other Sustaibility Projects","Year of Report","Data Current as of","Postcode","Latitude","Longitude","Community Board","Census Tract","BIN","BBL","NTA"
"35","DCLA","Visitor Center","1000 Washington Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","21,000 GSF","Good","Unknown","No","2022","07/07/2022","11225","40.667533","-73.96179","355","177","3337842","3011830001","park-cemetery-etc-Brooklyn"
"35","DEP","BPS Hazmat Citywide Field Operations","82 Emerson Pl","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","11,500 GSF","Between Fair and Poor","5 to 9 years","No","2022","07/07/2022","11205","40.695149","-73.96247","302","191","3054607","3018940038","Clinton Hill"
"35","DHS","BRC Women's Shelter","85 Lexington Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","17,000 GSF","Unknown","Unknown","No","2022","07/07/2022","11238","40.686798","-73.958646","303","233","3056327","3019670068","Bedford"
"35","DOE","K009","80 Underhill Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","116,000 GSF","Fair","> 20 years","No","2022","07/07/2022","11238","40.678297","-73.965541","308","205","3028204","3011450026","Prospect Heights"
"35","DOE","K011","419 Waverly Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","99,600 GSF","Fair","> 20 years","No","2022","07/07/2022","11238","40.685491","-73.966291","302","199","3332865","3019620010","Clinton Hill"
"35","DOE","K056","170 Gates Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","100,800 GSF","Poor","> 20 years","No","2022","07/07/2022","11238","40.68505","-73.960659","302","231","3056874","3019830010","Clinton Hill"
"35","DOE","K067","51 Saint Edwards St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","138,125 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","11205","40.695633","-73.978215","302","2901","3332507","3020390002","Fort Greene"
"35","DOE","K085","510 Clermont Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","61,200 GSF","Fair","> 20 years","No","2022","07/07/2022","11238","40.682533","-73.968769","302","179","3057521","3020080001","Fort Greene"
"35","DOE","K113","300 Adelphi St","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","147,000 GSF","Fair","> 20 years","No","2022","07/07/2022","11205","40.688811","-73.971009","302","181","3059051","3021030004","Fort Greene"
"35","DOE","K161","330 Crown St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","93,600 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","11225","40.666181","-73.949013","309","319","3034181","3012970026","Crown Heights South"
"35","DOE","K167","1025 Eastern Pkwy","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","77,000 GSF","Under Construction","Under Construction","No","2022","07/07/2022","11213","40.669001","-73.934635","308","353","3037303","3013890035","Crown Heights North"
"35","DOE","K241","976 President St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","79,453 GSF","Fair","> 20 years","No","2022","07/07/2022","11225","40.669339","-73.960675","309","213","3378160","3011880001","Crown Heights South"
"35","DOE","K265","101 Park Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","166,800 GSF","Fair","10 to 14 years","No","2022","07/07/2022","11205","40.696324","-73.97578","302","211","3057942","3020280001","Fort Greene"
"35","DOE","K270","241 Emerson Pl","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","86,400 GSF","Fair","> 20 years","No","2022","07/07/2022","11205","40.690202","-73.961478","302","193","3055378","3019330102","Clinton Hill"
"35","DOE","K316","750 Classon Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","83,000 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","11238","40.674406","-73.960254","308","215","3029246","3011670018","Prospect Heights"
"35","DOE","K320","46 Mckeever Pl","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","158,000 GSF","Fair","> 20 years","No","2022","07/07/2022","11225","40.665035","-73.959031","309","325","3034356","3013010001","Crown Heights South"
"35","DOE","K590","1186 Carroll St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","126,000 GSF","Fair","> 20 years","No","2022","07/07/2022","11225","40.667195","-73.951167","309","321","3348092","3012890025","Crown Heights South"
"35","DOE","K824","402 Eastern Pkwy","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","57,580 GSF","Fair","> 20 years","No","2022","07/07/2022","11225","40.6701","-73.954972","309","323","3032886","3012670001","Crown Heights South"
"35","DOE","K874","227 Sterling Pl","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","25,715 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","11238","40.676094","-73.97038","308","163","3029060","3011640057","Prospect Heights"
"35","DOHMH","Fort Greene Health Center","295 Flatbush Ave Ext","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","41,800 GSF","Fair","10 to 14 years","No","2022","07/07/2022","11201","40.691986","-73.982496","302","15","3058406","3020790021","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"35","FDNY","Engine Co. 219 and Ladder Co. 105","492 Dean St","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","10,300 GSF","Poor","> 20 years","No","2022","07/07/2022","11217","40.681368","-73.973612","308","161","3027813","3011360011","Prospect Heights"
"35","FDNY","Engine Co. 234 and Ladder Co. 123, Batt. 38","1352 St. John's Pl","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","10,355 GSF","Poor","> 20 years","No","2022","07/07/2022","11213","40.670699","-73.933216","308","351","3037055","3013840008","Crown Heights North"
"35","HHC","Cumberland Diagnostic and Treatment Center","100 North Portland Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","154,800 GSF","Between Fair and Poor","Unknown","No","2022","07/07/2022","11205","40.695268","-73.976232","302","2901","3251647","3020390101","Fort Greene"
"35","NYPD","71st Precinct","421 Empire Blvd","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","24,300 GSF","Good","10 to 14 years","No","2022","07/07/2022","11225","40.664113","-73.947763","309","331","3034563","3013100001","Crown Heights South"
"35","NYPD","77th Precinct Annex","653 Grand Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","12,623 GSF","Poor","> 20 years","No","2022","07/07/2022","11238","40.675658","-73.963123","308","305","3028914","3011620001","Crown Heights North"
"35","NYPD","78th Precinct","65 6th Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","34,500 GSF","Fair","15 to 19 years","No","2022","07/07/2022","11217","40.680778","-73.974474","306","161","3027810","3011360001","Prospect Heights"
"35","NYPD","84th Precinct (and Engine Company 207)","301 Gold St","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","50,000 GSF","Fair","10 to 14 years","No","2022","07/07/2022","11201","40.695447","-73.983228","302","15","3000252","3001340006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"35","NYPD","88th Precinct","298 Classon Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","18,600 GSF","Poor","> 20 years","No","2022","07/07/2022","11205","40.690304","-73.960295","302","193","3055379","3019330121","Clinton Hill"
"36","BPL","Macon Branch Library","361 Lewis Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","10,540 GSF","Unknown","Unknown","No","2022","07/07/2022","11233","40.683161","-73.935075","303","295","3046408","3016650001","Stuyvesant Heights"
"36","DCLA","Brooklyn Children's Museum","145 Brooklyn Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","105,000 GSF","Between Fair and Poor","10 to 14 years","No","2022","07/07/2022","11213","40.674773","-73.944464","308","341","3031049","3012290001","Crown Heights North"
"36","DHS","Pamoja House Shelter","357 Sumner Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","235,200 GSF","Fair","> 20 years","No","2022","07/07/2022","11221","40.685021","-73.938441","303","275","3045367","3016490001","Stuyvesant Heights"
"36","DOE","K021","180 Chauncey St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","102,000 GSF","Between Good and Fair","5 to 9 years","No","2022","07/07/2022","11233","40.680727","-73.926597","303","381","3047914","3016920017","Crown Heights North"
"36","DOE","K033","70 Tompkins Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","146,000 GSF","Fair","> 20 years","No","2022","07/07/2022","11206","40.697152","-73.946641","303","257","3048517","3017430018","Bedford"
"36","DOE","K059","211 Throop Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","96,000 GSF","Fair","> 20 years","No","2022","07/07/2022","11206","40.696733","-73.943652","303","28502","3048546","3017490001","Stuyvesant Heights"
"36","DOE","K081","990 Dekalb Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","109,000 GSF","Fair","15 to 19 years","No","2022","07/07/2022","11221","40.693161","-73.935765","303","289","3043248","3016020019","Stuyvesant Heights"
"36","DOE","K093","31 New York Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","92,400 GSF","Fair","> 20 years","No","2022","07/07/2022","11216","40.679097","-73.94684","303","247","3053993","3018680007","Crown Heights North"
"36","DOE","K138","760 Prospect Pl","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","177,600 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","11216","40.67438","-73.951443","308","31701","3330794","3012330026","Crown Heights North"
"36","DOE","K148","185 Ellery St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","104,400 GSF","Fair","> 20 years","No","2022","07/07/2022","11206","40.698869","-73.945042","303","257","3048352","3017260014","Bedford"
"36","DOE","K243","1580 Dean St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","92,000 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","11213","40.676094","-73.935688","308","309","3035761","3013470001","Crown Heights North"
"36","DOE","K256","114 Kosciusko St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","106,800 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022","11216","40.690725","-73.950433","303","253","3049769","3017840020","Bedford"
"36","DOE","K258","141 Macon St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","142,000 GSF","Fair","> 20 years","No","2022","07/07/2022","11216","40.681572","-73.945446","303","269","3053075","3018450001","Bedford"
"36","DOE","K262","500 Macon St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","98,400 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022","11233","40.683241","-73.930813","303","297","3046876","3016710019","Crown Heights North"
"36","DOE","K289","900 St. Marks Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","115,200 GSF","Fair","10 to 14 years","No","2022","07/07/2022","11213","40.674794","-73.942639","308","341","3031050","3012290028","Crown Heights North"
"36","DOE","K297","700 Park Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","79,000 GSF","Fair","> 20 years","No","2022","07/07/2022","11206","40.697781","-73.947809","303","257","3048508","3017390011","Bedford"
"36","DOE","K304","280 Hart St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","109,200 GSF","Under Construction","Under Construction","No","2022","07/07/2022","11206","40.694086","-73.940744","303","281","3049420","3017730014","Stuyvesant Heights"
"36","DOE","K305","344 Monroe St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","89,000 GSF","Fair","> 20 years","No","2022","07/07/2022","11216","40.686076","-73.945229","303","265","3051458","3018190014","Bedford"
"36","DOE","K308","616 Quincy St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","70,800 GSF","Poor","> 20 years","No","2022","07/07/2022","11221","40.688695","-73.935499","303","293","3044493","3016300001","Stuyvesant Heights"
"36","DOE","K390","1224 Park Pl","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","150,000 GSF","Between Fair and Poor","15 to 19 years","No","2022","07/07/2022","11213","40.672713","-73.936924","308","343","3036405","3013700029","Crown Heights North"
"36","DOE","K458","832 Marcy Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","213,600 GSF","Fair","> 20 years","No","2022","07/07/2022","11216","40.685004","-73.947152","303","249","3051641","3018230038","Bedford"
"36","DOE","K625","150 Albany Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","175,200 GSF","Under Construction","Under Construction","No","2022","07/07/2022","11213","40.675612","-73.938843","308","311","3030553","3012160046","Crown Heights North"
"46","NYPD","NYPD Warehouse","Gateway tiol Recreation Area","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","36,920 GSF","Between Good and Fair","15 to 19 years","No","2022","07/07/2022",,,,,,,,
"36","DOE","K743","475 Nostrand Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","86,575 GSF","Poor","> 20 years","No","2022","07/07/2022","11216","40.681233","-73.949737","303","249","3053020","3018440001","Bedford"
"36","DOE","K853","234 Herkimer St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","Unknown","Poor","10 to 14 years","No","2022","07/07/2022","11216","40.679398","-73.945332","303","247","3323075","3018680028","Crown Heights North"
"36","DOE","K867","960 Prospect Pl","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","10,800 GSF","Fair","> 20 years","No","2022","07/07/2022","11213","40.674029","-73.945106","308","341","3031296","3012350037","Crown Heights North"
"36","DOHMH","Bedford Health Center","485 Throop Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","37,766 GSF","Unknown","15 to 19 years","No","2022","07/07/2022","11221","40.685654","-73.941462","303","277","3051782","3018260001","Stuyvesant Heights"
"36","DOHMH","Crown Heights Health Center","1218 Prospect Pl","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","15,805 GSF","Poor","15 to 19 years","No","2022","07/07/2022","11213","40.67353","-73.935845","308","345","3036147","3013650009","Crown Heights North"
"36","DPR","Kosciuszko Pool House","670 Marcy Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","13,400 GSF","Poor","> 20 years","No","2022","07/07/2022","11216","40.691405","-73.948427","303","253","3255870","3017790027","Bedford"
"36","DPR","Prospect Park Maintence Facility","Prospect Park West at 7th St","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","34,100 GSF","Between Fair and Poor","2 to 4 years","Planned Green Roof, Existing Cool Roof","2022","07/07/2022",,,,,,,,
"36","DSNY","Brooklyn North 8 District Garage","1760 Atlantic Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","31,000 GSF","Poor","> 20 years","No","2022","07/07/2022","11213","40.677494","-73.931969","308","309","3330693","3013360018","Crown Heights North"
"36","HHC","Woodhull Medical and Mental Health Center","760 Broadway","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","1,071,600 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","11206","40.700528","-73.941604","303","28501","3048341","3017230001","Bushwick South"
"36","NYPD","79th Precinct","263 Tompkins Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","33,540 GSF","Good","10 to 14 years","No","2022","07/07/2022","11216","40.688993","-73.945025","303","263","3050453","3018000003","Bedford"
"37","ACS","Labor and Industry for Education Inc.","1375 Bushwick Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","27,100 GSF","Poor","Unknown","No","2022","07/07/2022","11207","40.685173","-73.910526","304","403","3079655","3034330005","Bushwick South"
"37","ACS","Labor and Industry for Education Inc.","1375 Bushwick Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","27,100 GSF","Unknown","Unknown","No","2022","07/07/2022","11207","40.685173","-73.910526","304","403","3079655","3034330005","Bushwick South"
"37","DHS","Bushwick Family Residence","1675 Broadway","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","27,528 GSF","Fair","15 to 19 years","No","2022","07/07/2022","11207","40.684195","-73.912708","304","401","3319581","3034260005","Bushwick South"
"37","DHS","HELP Women's Center Shelter","116 Williams Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","55,976 GSF","Fair","15 to 19 years","No","2022","07/07/2022","11207","40.673436","-73.900134","305","1144","3083637","3036990001","East New York (Pennsylvania Ave)"
"37","DOE","K007","858 Jamaica Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","110,515 GSF","Poor","> 20 years","No","2022","07/07/2022","11208","40.689697","-73.873109","305","118201","3090998","3041060039","Cypress Hills-City Line"
"37","DOE","K045","84 Schaefer St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","141,600 GSF","Fair","10 to 14 years","No","2022","07/07/2022","11207","40.686746","-73.910693","304","401","3079428","3034270011","Bushwick South"
"37","DOE","K073","251 Mac Dougal St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","98,000 GSF","Good","2 to 4 years","No","2022","07/07/2022","11233","40.680318","-73.910644","316","369","3041561","3015280001","Ocean Hill"
"37","DOE","K086","220 Irving Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","37,000 GSF","Between Good and Fair","5 to 9 years","No","2022","07/07/2022","11237","40.700774","-73.91748","304","431","3075109","3032890027","Bushwick North"
"37","DOE","K106","1328 Putm Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","99,600 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022",,,,,,,,
"37","DOE","K108","200 Linwood St","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","78,000 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022","11208","40.681268","-73.884063","305","117202","3087131","3039260045","Cypress Hills-City Line"
"37","DOE","K116","515 Knickerbocker Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","60,000 GSF","Good","> 20 years","No","2022","07/07/2022","11237","40.697779","-73.916521","304","433","3075909","3033170001","Bushwick North"
"37","DOE","K151","763 Knickerbocker Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","56,000 GSF","Between Fair and Poor","10 to 14 years","No","2022","07/07/2022","11207","40.693293","-73.90864","304","437","3078654","3034060001","Bushwick North"
"37","DOE","K158","400 Ashford St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","102,000 GSF","Fair","> 20 years","No","2022","07/07/2022","11207","40.672579","-73.884803","305","1150","3089176","3040150001","East New York"
"37","DOE","K214","2944 Pitkin Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","77,000 GSF","Between Good and Fair","5 to 9 years","No","2022","07/07/2022","11208","40.676513","-73.863151","305","1202","3095254","3042430001","Cypress Hills-City Line"
"37","DOE","K291","231 Palmetto St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","247,200 GSF","Fair","> 20 years","No","2022","07/07/2022","11221","40.695362","-73.915142","304","433","3076460","3033430001","Bushwick North"
"37","DOE","K296","125 Covert St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","188,400 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022","11207","40.688387","-73.910276","304","413","3079027","3034160001","Bushwick South"
"37","DOE","K376","194 Harman St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","90,100 GSF","Poor","> 20 years","No","2022","07/07/2022","11237","40.698021","-73.920711","304","431","3075072","3032870001","Bushwick North"
"37","DOE","K383","1300 Greene Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","211,200 GSF","Fair","> 20 years","No","2022","07/07/2022","11237","40.697781","-73.919777","304","431","3075413","3032980001","Bushwick North"
"37","DOE","K384","242 Cooper St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","123,000 GSF","Fair","> 20 years","No","2022","07/07/2022","11207","40.690353","-73.904803","304","409","3080043","3034420001","Bushwick North"
"37","DOE","K615","1 Wells St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","177,000 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","11208","40.678276","-73.87596","305","1196","3327249","3041550075","East New York"
"37","DOE","K660","145 Pennsylvania Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","180,000 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","11207","40.674135","-73.89643","305","1144","3083660","3037040001","East New York (Pennsylvania Ave)"
"37","DOE","K798","696 Jamaica Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","97,000 GSF","Fair","10 to 14 years","No","2022","07/07/2022","11208","40.687145","-73.878547","305","117601","3397004","3041020019","Cypress Hills-City Line"
"37","DOHMH","Bushwick Health Center","335 Central Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","35,640 GSF","Poor","> 20 years","No","2022","07/07/2022","11221","40.694674","-73.919153","304","417","3076115","3033240001","Bushwick South"
"37","FDNY","Engine Co. 233 and Ladder Co. 176","25 Rockaway Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","13,519 GSF","Between Fair and Poor","15 to 19 years","No","2022","07/07/2022","11233","40.682616","-73.911687","316","369","3040990","3015120001","Ocean Hill"
"37","FDNY","Engine Co. 271 and Ladder Co. 124, Batt. 28","392 Himrod St","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","13,108 GSF","Poor","> 20 years","No","2022","07/07/2022","11237","40.703721","-73.916253","304","443","3074885","3032810022","Bushwick North"
"37","FDNY","Engine Co. 277 and Ladder Co. 112","582 Knickerbocker Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","15,000 GSF","Poor","> 20 years","No","2022","07/07/2022","11221","40.696564","-73.914423","304","433","3076461","3033430029","Bushwick North"
"37","FDNY","Engine Co. 332 and Ladder Co. 175","165 Bradford St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","11,300 GSF","Unknown","10 to 14 years","No","2022","07/07/2022","11207","40.675359","-73.892863","305","1198","3083579","3036910001","East New York"
"37","HRA","Bushwick Multi Service Center (owned)","1420 Bushwick Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","52,000 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022","11207","40.684318","-73.909056","304","403","3080067","3034440022","Bushwick South"
"37","NYPD","83rd Precinct","480 Knickerbocker Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","31,729 GSF","Between Fair and Poor","10 to 14 years","No","2022","07/07/2022","11237","40.698466","-73.917768","304","433","3326387","3033070022","Bushwick North"
"37","NYPD","Brooklyn North Boro Command","179 Wilson Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","15,205 GSF","Between Fair and Poor","Unknown","No","2022","07/07/2022","11237","40.699571","-73.923713","304","429","3073816","3032460005","Bushwick North"
"37","NYPD","Brooklyn North rcotics","245 Glenmore Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","60,000 GSF","Poor","> 20 years","No","2022","07/07/2022","11207","40.672361","-73.901617","305","1144","3083636","3036980032","East New York (Pennsylvania Ave)"
"38","ACS","P.A.L. Miccio Day Care Center","595 Clinton Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","27,000 GSF","Unknown","Unknown","No","2022","07/07/2022",,,,,,,,
"38","BPL","Sunset Park Branch Library","5108 4th Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","12,174 GSF","Between Fair and Poor","15 to 19 years","No","2022","07/07/2022","11220","40.6458","-74.01329","307","78","3013507","3007980034","Sunset Park West"
"38","DCLA","AMNH Storage (Space) (Leased In)","140 58th St Bldg B","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","31,000 GSF","Unknown","Unknown","No","2022","07/07/2022","11220","40.645338","-74.022864","307","18","3414976","3057780001","Sunset Park West"
"38","DOE","K010","511 7th Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","92,400 GSF","Fair","> 20 years","No","2022","07/07/2022","11215","40.661061","-73.986534","307","149","3016509","3008690001","Park Slope-Gowanus"
"38","DOE","K015","71 Sullivan St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","96,000 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","11231","40.677343","-74.011558","306","53","3008585","3005660001","Carroll Gardens-Columbia Street-Red Hook"
"38","DOE","K024","435 38 St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","110,400 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022","11232","40.652627","-74.00462","307","84","3346119","3007010001","Sunset Park West"
"38","DOE","K027","27 Huntington St","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","110,400 GSF","Fair","> 20 years","No","2022","07/07/2022","11231","40.677564","-74.005166","306","59","3008342","3005250001","Carroll Gardens-Columbia Street-Red Hook"
"38","DOE","K069","6302 9th Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","110,400 GSF","Between Good and Fair","> 20 years","No","2022","07/07/2022","11220","40.632379","-74.009223","310","120","3387646","3057350032","Sunset Park East"
"38","DOE","K136","4004 4th Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","136,300 GSF","Fair","> 20 years","No","2022","07/07/2022","11232","40.651977","-74.006862","307","82","3010580","3007130020","Sunset Park West"
"38","DOE","K169","4305 7th Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","123,600 GSF","Poor","> 20 years","No","2022","07/07/2022","11232","40.64629","-74.001903","307","92","3011002","3007320001","Sunset Park East"
"38","DOE","K172","825 4th Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","56,400 GSF","Fair","> 20 years","No","2022","07/07/2022","11232","40.657914","-74.000652","307","101","3009847","3006690001","Sunset Park West"
"38","DOE","K227","6500 16th Ave","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","146,400 GSF","Poor","> 20 years","No","2022","07/07/2022","11204","40.62191","-73.995022","311","250","3133741","3055510018","Bensonhurst West"
"38","DOE","K231","360 36 St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","26,400 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","11232","40.654796","-74.005244","307","84","3337060","3006960031","Sunset Park West"
"38","DOE","K314","330 59 St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","147,000 GSF","Between Good and Fair","15 to 19 years","No","2022","07/07/2022","11220","40.642121","-74.018997","307","74","3016258","3008620012","Sunset Park West"
"38","DOE","K371","355 37 St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","Unknown","Unknown","> 20 years","No","2022","07/07/2022","11232","40.654293","-74.005889","307","84","3337059","3006960031","Sunset Park West"
"38","DOE","K564","153 35th St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","157,000 GSF","Good","10 to 14 years","No","2022","07/07/2022","11232","40.65571","-74.005197","307","84","3394175","3006880050","Sunset Park West"
"38","DOE","K845","330 18 St","Brooklyn","Yes",,,,,,,,,,,"Not Solar Ready","No","102,125 GSF","Fair","> 20 years","No","2022","07/07/2022","11215","40.660976","-73.988297","307","147","3331274","3008800001","Sunset Park West"
"38","DOT","Hamilton Ave Asphalt Plant","448 Hamilton Ave","Brooklyn","No",,,,,,,,,,,"Not Solar Ready","No","31,302 GSF","Poor","15 to 19 years","No","2022","07/07/2022","11232","40.670361","-73.997693","307","18","3336712","3006250002","Sunset Park West"
